,Mkt-RF,SMB,HML,RMW,CMA,RF
20190624,-0.34,-0.9,0.08,0.64,-0.02,0.009
20190625,-0.98,0.41,0.71,-0.11,0.56,0.009
20190626,-0.06,0.02,0.25,0.37,-0.39,0.009
20190627,0.59,1.43,-0.09,-0.34,-0.22,0.009
20190628,0.68,0.77,0.61,-0.47,0.11,0.009
20190701,0.75,-0.59,-0.13,-0.14,0.05,0.009
20190702,0.14,-0.97,-0.81,-0.02,-0.01,0.009
20190703,0.78,-0.13,-0.33,-0.35,-0.05,0.009
20190705,-0.1,0.34,0.91,0.13,-0.05,0.009
20190708,-0.58,-0.43,0.04,0.05,-0.26,0.009
20190709,0.18,-0.24,-0.43,-0.64,-0.19,0.009
20190710,0.4,-0.25,-0.36,0.12,-0.02,0.009
20190711,0.19,-0.77,0.05,-0.24,-0.56,0.009
20190712,0.53,0.32,0.41,0.59,-0.09,0.009
20190715,-0.04,-0.47,-1.07,0.13,0.24,0.009
20190716,-0.32,0.41,0.1,0.45,-0.02,0.009
20190717,-0.64,-0.26,-0.65,-0.49,-0.24,0.009
20190718,0.35,-0.27,0.01,-0.36,0.35,0.009
20190719,-0.56,0.3,0.87,0.36,0.09,0.009
20190722,0.25,-0.55,-0.48,-0.19,-0.01,0.009
20190723,0.65,-0.07,0.8,0.67,0.34,0.009
20190724,0.66,0.93,0.86,-0.08,-0.09,0.009
20190725,-0.63,-0.68,-0.12,0.16,0.05,0.009
20190726,0.82,0.33,-0.19,-0.61,-0.25,0.009
20190729,-0.32,-0.35,-0.47,0.31,0.37,0.009
20190730,-0.17,1.42,0.89,-0.18,0.1,0.009
20190731,-1.09,0.26,0.61,0.2,0.53,0.009
20190801,-1.04,-0.76,-1.91,-0.54,-0.3,0.007
20190802,-0.87,-0.26,0.06,0.15,0.19,0.007
20190805,-3.07,0.05,0,-0.07,0.27,0.007
20190806,1.29,-0.54,-0.6,-0.26,-0.25,0.007
20190807,0.07,-0.11,-0.88,0.15,-0.16,0.007
20190808,1.97,-0.04,-0.22,0.27,-0.3,0.007
20190809,-0.78,-0.5,-0.22,-0.49,-0.02,0.007
20190812,-1.32,0.22,-0.28,0.15,0.23,0.007
20190813,1.47,-0.34,-0.54,0.35,-0.05,0.007
20190814,-2.95,0.02,-0.52,-0.38,0.01,0.007
20190815,0.16,-0.69,-0.53,-0.08,-0.46,0.007
20190816,1.55,0.64,0.61,0.14,-0.06,0.007
20190819,1.14,0.03,0.22,0.37,0,0.007
20190820,-0.75,0.18,-0.5,0.12,-0.18,0.007
20190821,0.85,-0.03,-0.3,-0.02,-0.01,0.007
20190822,-0.1,-0.34,0.49,0.23,0.26,0.007
20190823,-2.66,-0.61,-0.19,-0.63,-0.24,0.007
20190826,1.08,-0.03,-0.17,0.19,-0.15,0.007
20190827,-0.46,-1,-0.68,0.27,0.07,0.007
20190828,0.68,0.62,0.62,0.34,0.21,0.007
20190829,1.35,0.4,0.34,0.17,-0.18,0.007
20190830,0.03,-0.25,0.23,0.1,0.13,0.007
20190903,-0.87,-0.93,0.1,-0.2,0.45,0.009
20190904,1.08,-0.15,0.43,0.24,-0.07,0.009
20190905,1.42,0.55,0.71,0.43,-0.01,0.009
20190906,-0.02,-0.36,0.04,0.16,0.42,0.009
20190909,0.07,1.35,3.07,0.86,0.43,0.009
20190910,0.17,1.41,1.13,-0.03,0.59,0.009
20190911,0.88,1.37,-0.04,-0.23,0.34,0.009
20190912,0.22,-0.39,-0.13,-0.23,-0.17,0.009
20190913,-0.01,0.18,0.74,-0.03,-0.1,0.009
20190916,-0.23,0.88,0.53,-0.31,0.05,0.009
20190917,0.17,-0.79,-1.2,-0.19,-0.35,0.009
20190918,-0.05,-0.78,0.05,-0.12,0.04,0.009
20190919,-0.05,-0.49,-0.46,0.04,-0.2,0.009
20190920,-0.48,0.29,0.15,-0.59,0.08,0.009
20190923,-0.02,-0.11,0.51,0.26,0.27,0.009
20190924,-1.01,-0.75,0,0.18,0.45,0.009
20190925,0.69,0.42,0.53,0.42,0.01,0.009
20190926,-0.41,-0.98,0.11,0.36,0.29,0.009
20190927,-0.62,-0.17,0.89,0.24,0.56,0.009
20190930,0.5,-0.26,-0.48,0.62,-0.02,0.009
20191001,-1.31,-0.66,-0.59,0.1,-0.19,0.007
20191002,-1.73,0.77,-0.36,-0.48,-0.25,0.007
20191003,0.8,-0.38,-0.89,-0.19,-0.18,0.007
20191004,1.39,-0.5,-0.07,-0.01,0.03,0.007
20191007,-0.41,0.13,-0.02,-0.07,-0.26,0.007
20191008,-1.61,-0.15,-0.13,0.44,0.02,0.007
20191009,0.92,-0.57,-0.09,0.13,-0.17,0.007
20191010,0.59,-0.26,0.26,0.12,-0.09,0.007
20191011,1.23,0.6,0.2,0.48,0.3,0.007
20191014,-0.18,-0.35,-0.04,-0.17,-0.08,0.007
20191015,1.03,0.25,-0.25,-0.22,-0.69,0.007
20191016,-0.24,0.47,0.23,0.39,0.26,0.007
20191017,0.37,0.79,-0.29,0.11,-0.04,0.007
20191018,-0.49,-0.14,0.86,-0.08,0.38,0.007
20191021,0.71,0.3,0.36,0.02,0.02,0.007
